,source,title,episodes,score,favorites,genres,start_date,total_duration
0,manga,Fullmetal Alchemist: Brotherhood,64.0,9.13,204645,"['Action', 'Adventure', 'Drama', 'Fantasy']",2009-04-05,1557
1,manga,Hunter x Hunter (2011),148.0,9.04,185178,"['Action', 'Adventure', 'Fantasy']",2011-10-02,3495
2,manga,Shingeki no Kyojin Season 3 Part 2,10.0,9.07,51931,"['Action', 'Drama']",2019-04-29,239
3,visual_novel,Steins;Gate,24.0,9.08,173088,"['Drama', 'Sci-Fi', 'Suspense']",2011-04-06,584
4,manga,Koe no Katachi,1.0,8.95,77431,['Drama'],2016-09-17,130
5,original,Kimi no Na wa.,1.0,8.86,82509,"['Drama', 'Supernatural']",2016-08-26,106
6,original,Code Geass: Hangyaku no Lelouch R2,25.0,8.91,71331,"['Action', 'Drama', 'Sci-Fi']",2008-04-06,600
7,manga,Shingeki no Kyojin: The Final Season,16.0,8.83,50125,"['Action', 'Drama']",2020-12-07,382
8,original,Sen to Chihiro no Kamikakushi,1.0,8.78,28806,"['Adventure', 'Award Winning', 'Supernatural']",2001-07-20,124
9,original,Code Geass: Hangyaku no Lelouch,25.0,8.7,100106,"['Action', 'Drama', 'Sci-Fi']",2006-10-06,600
10,manga,Death Note,37.0,8.62,157433,"['Supernatural', 'Suspense']",2006-10-04,851
11,manga,Jujutsu Kaisen (TV),24.0,8.68,72025,"['Action', 'Fantasy']",2020-10-03,574
12,manga,Shigatsu wa Kimi no Uso,22.0,8.66,79870,"['Drama', 'Romance']",2014-10-10,504
13,manga,Shingeki no Kyojin Season 3,12.0,8.62,18702,"['Action', 'Drama']",2018-07-23,286
15,original,Cowboy Bebop,26.0,8.76,72711,"['Action', 'Sci-Fi']",1998-04-03,624
16,manga,Shingeki no Kyojin,25.0,8.53,153790,"['Action', 'Drama']",2013-04-07,600
17,manga,Kimetsu no Yaiba,26.0,8.54,81816,"['Action', 'Fantasy']",2019-04-06,615
18,web_manga,Mob Psycho 100 II,13.0,8.81,29183,"['Action', 'Comedy', 'Supernatural']",2019-01-07,314
19,web_manga,One Punch Man,12.0,8.51,58638,"['Action', 'Comedy']",2015-10-05,292
20,manga,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10.0,8.79,14624,['Sports'],2016-10-08,240
21,light_novel,Violet Evergarden,13.0,8.67,52431,"['Drama', 'Fantasy', 'Slice of Life']",2018-01-11,320
22,manga,Shingeki no Kyojin Season 2,12.0,8.5,19967,"['Action', 'Drama']",2017-04-01,290
23,visual_novel,Clannad: After Story,24.0,8.94,66806,"['Drama', 'Romance', 'Supernatural']",2008-10-03,584
24,manga,Yakusoku no Neverland,12.0,8.54,31342,"['Mystery', 'Sci-Fi', 'Suspense']",2019-01-10,275
25,manga,Haikyuu!! Second Season,25.0,8.64,15129,['Sports'],2015-10-04,600
26,novel,Howl no Ugoku Shiro,1.0,8.66,23939,"['Adventure', 'Drama', 'Fantasy', 'Romance']",2004-11-20,119
27,original,Tengen Toppa Gurren Lagann,27.0,8.63,72587,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",2007-04-01,657
28,original,Mononoke Hime,1.0,8.68,19053,"['Action', 'Adventure', 'Fantasy']",1997-07-12,133
29,manga,Kimetsu no Yaiba Movie: Mugen Ressha-hen,1.0,8.66,11878,"['Action', 'Fantasy']",2020-10-16,116
30,manga,Kimetsu no Yaiba: Yuukaku-hen,11.0,8.86,20645,"['Action', 'Fantasy']",2021-12-05,292
31,manga,Vinland Saga,24.0,8.73,33881,"['Action', 'Adventure', 'Drama']",2019-07-08,596
32,manga,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,12.0,8.65,18430,['Comedy'],2020-04-11,290
33,web_manga,Mob Psycho 100,12.0,8.48,39581,"['Action', 'Comedy', 'Supernatural']",2016-07-11,288
34,web_manga,Made in Abyss,13.0,8.67,38020,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2017-07-07,330
35,manga,Haikyuu!!,25.0,8.45,67117,['Sports'],2014-04-06,600
36,manga,Spy x Family,12.0,8.82,29844,"['Action', 'Comedy']",2022-04-09,289
37,light_novel,Fate/Zero 2nd Season,12.0,8.56,19468,"['Action', 'Fantasy', 'Supernatural']",2012-04-08,288
38,manga,Ansatsu Kyoushitsu 2nd Season,25.0,8.5,16695,"['Action', 'Comedy']",2016-01-08,575
39,manga,Shingeki no Kyojin: The Final Season Part 2,12.0,8.82,26577,"['Action', 'Drama']",2022-01-10,287
40,manga,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,12.0,8.41,34404,['Comedy'],2019-01-12,300
41,manga,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39.0,8.58,27805,"['Action', 'Adventure']",2018-10-06,923
